tribe,部族
budget,予算
campaign,運動、キャンペーン
sorrow,悲しみ
satellite,衛星
insight,洞察
cough,せき
fate,運命
scheme,計画
insult,侮辱
inhabitant,住民
fossil,化石
motive,動機
instinct,本能
legend,伝説
empire,帝国
suburb,郊外
architecture,建築
passion,情熱
cancer,ガン
logic,論理
dozen,ダース
harvest,収穫
ingredient,材料
hypothesis,仮説
voyage,航海
editor,編集者
option,選択の自由
hemisphere,半球
mechanism,仕組み
anthropologist,人類学者
tragedy,悲劇
antibiotic,抗生物質
fare,運賃
debt,借金
curriculum,教育課程
component,構成要素
wheat,小麦
usage,語法
castle,城
famine,飢饉
extinction,絶滅
purse,財布
folk,民族
explosion,爆発
portion,部分
organism,生物
merchant,商人
myth,神話
incident,出来事
wildlife,野生生物
congress,議会
bay,湾
penalty,刑
heritage,遺産
diversity,多様性
thumb,親指
geography,地理
factor,要因
discrimination,差別
virus,ウイルス
statue,像
priest,神父
pioneer,先駆者
trait,特徴
bond,きずな
grocery,食料品
secretary,秘書
dialect,方言
astronomy,天文学
youngster,子供
substance,物質
finding,発見
strategy,戦略
lung,肺
opponent,敵
ritual,儀式
outcome,結果
conservation,環境保護
mammal,哺乳類
telescope,望遠鏡
refugee,難民
code,規則
flavor,風味
particle,粒子
nursing,看護
suicide,自殺
habitat,生息地
bullying,いじめ
dinosaur,恐竜
council,議会
gender,性別
surgery,手術
innovation,革新
protein,タンパク質
nutrition,栄養
disaster,災害
emission,排出
ape,類人猿
molecule,分子
sweat,汗
transplant,移植
species,種
tip,先
cattle,牛
density,密度
concept,概念
pale,青白い
precious,貴重な
loyal,忠実な
isolated,孤立している
generous,気前のよい
tropical,熱帯
reluctant,したがらない
vague,漠然とした
vast,広大な
numerous,たくさんの
rural,田舎の
widespread,広まっている
complicated,複雑な
visible,目に見える
raw,生の
remote,へんぴな
urgent,緊急の
silly,ばかな
striking,いちじるしい
adequate,十分な
extraordinary,並外れた
odd,おかしな
abstract,抽象的な
mutual,相互の
excessive,過度の
ashamed,恥ずかしい
tremendous,とてつもない
inevitable,避けられない
pure,純
stable,安定した
indifferent,無関心だ
aggressive,攻撃的な
ultimate,究極の
shy,内気な
solar,太陽
profound,深い
subtle,微妙な
conservative,保守
brave,勇敢な
intense,強烈な
alcoholic,アルコールの
manual,手を使う
cruel,残酷な
rational,理性的な
initial,最初の
immune,免疫
linguistic,言語の
crucial,重大な
verbal,言葉による
optimistic,楽観的な
flexible,柔軟な
grateful,感謝している
lively,生き生きとした
overwhelming,圧倒的な
abundant,豊富な
selfish,利己的な
ugly,みにくい
racial,人種の
prominent,有名な
